,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,extra_dependencies,markdown_extension,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
196,awesome-list,,awesome-list,carlosperate/mkdocs-awesome-list-plugin,,['plugin'],nav-pages,https://github.com/carlosperate/mkdocs-awesome-list-plugin,https://github.com/carlosperate/mkdocs-awesome-list-plugin,MIT,2019-07-25 19:23:15,2019-07-26 00:31:07,2019-07-26 00:30:58,4.0,,,1.0,,,,4.0,,,,MkDocs Plugin to inject social media cards for each entry in an awesome-list.,,,,,,,4,False,3.0,,,,,,,,,
197,mkdocs-copy,,copy,chikamichi/mkdocs-copy,mkdocs-copy,['plugin'],nav-pages,https://github.com/chikamichi/mkdocs-copy,https://github.com/chikamichi/mkdocs-copy,MIT,2021-09-11 17:22:19,2021-09-21 14:19:26,2021-09-21 14:19:26,2.0,,,2.0,,1.0,,4.0,,,1.0,A MkDocs plugin that lets you copy (and maybe transform) arbitrary doc files to the build.,,,,https://pypi.org/project/mkdocs-copy,23.0,23.0,4,False,3.0,,,5.0,,,,,,
198,mkdocs_protobuf,,mkdocs_protobuf,rymurr/mkdocs-protobuf,mkdocs_protobuf,['plugin'],code-exec-templating,https://github.com/rymurr/mkdocs-protobuf,https://github.com/rymurr/mkdocs-protobuf,Apache-2,2021-09-11 10:16:54,2022-09-13 13:33:15,2022-03-30 11:31:58,19.0,,1.0,1.0,1.0,1.0,,2.0,,,,Mkdocs plugin to render protobuf messages.,,,2.0,https://pypi.org/project/mkdocs_protobuf,238.0,238.0,4,False,3.0,,,,,,,,,
199,mkdocs-new-features-notifier,,mkdocs-new-features-notifier,kevin-411/mkdocs-new-features-notifier,mkdocs-new-features-notifier,['plugin'],site-management,https://github.com/kevin-411/mkdocs-new-features-notifier,https://github.com/kevin-411/mkdocs-new-features-notifier,MIT,2019-11-27 07:15:17,2020-01-15 10:40:10,2020-01-15 10:13:44,17.0,,1.0,2.0,,,,2.0,,,,This plugin enables you to notify users of new features in your product. It does this by identifying new documentation..,,,2.0,https://pypi.org/project/mkdocs-new-features-notifier,457.0,457.0,4,False,3.0,,,,,,,,,
200,KBD Extension,,,RickTalken/kbdextension,kbdextension,['markdown'],markdown,https://github.com/RickTalken/kbdextension,https://github.com/RickTalken/kbdextension,MIT,2020-06-07 00:32:10,2020-06-09 03:26:00,2020-06-08 03:52:23,8.0,,,1.0,,,1.0,1.0,,,,KBD Extension for Python-Markdown.,5.0,5.0,,https://pypi.org/project/kbdextension,58.0,58.0,4,False,3.0,,kbdextension,,,,,,,
201,multiple,,multiple,experimaestro/mkdocs-multiple,mkdocs-multiple,['plugin'],site-management,https://github.com/experimaestro/mkdocs-multiple,https://github.com/experimaestro/mkdocs-multiple,GPL-3.0,2019-02-27 10:51:22,2019-11-22 09:07:18,2019-11-22 09:06:06,5.0,,,2.0,,1.0,,1.0,,,,Allows to merge mkdocs documentations dynamically.,,,,https://pypi.org/project/mkdocs-multiple,1068.0,1068.0,4,False,3.0,,,,,,,,,
202,pico-8,,pico-8,fmaida/pico8-mkdocs-plugin,pico8-mkdocs-plugin,['plugin'],other,https://github.com/fmaida/pico8-mkdocs-plugin,https://github.com/fmaida/pico8-mkdocs-plugin,MIT,2019-03-16 17:43:48,2019-03-17 11:49:29,2019-03-17 11:49:24,5.0,,,2.0,,,,1.0,,,,A MKDocs plugin that allows to embed a Pico-8 web player in a page.,1.0,1.0,,https://pypi.org/project/pico8-mkdocs-plugin,75.0,75.0,4,False,3.0,,,,,,,,,
203,codeyaml,,codeyaml,textileio/mkdocs-codeyaml-plugin,mkdocs-codeyaml-plugin,['plugin'],code-exec-templating,https://github.com/textileio/mkdocs-codeyaml-plugin,https://github.com/textileio/mkdocs-codeyaml-plugin,MIT,2019-04-30 19:39:34,2019-04-30 22:11:50,2019-04-30 22:11:44,3.0,,1.0,3.0,,,1.0,,,,,Allows for more than one yaml config in mkdocs.,,,,https://pypi.org/project/mkdocs-codeyaml-plugin,16.0,16.0,4,False,3.0,,,,,,,,,
204,markdown-del-ins,,,honzajavorek/markdown-del-ins,markdown-del-ins,['markdown'],markdown,https://github.com/honzajavorek/markdown-del-ins,https://github.com/honzajavorek/markdown-del-ins,,2020-01-09 09:02:25,2020-01-09 10:45:06,2020-01-09 10:44:59,10.0,,,1.0,,1.0,,11.0,,,,Markdown extension to support the del and ins tags.,,,2.0,https://pypi.org/project/markdown-del-ins,349.0,349.0,3,False,3.0,,markdown_del_ins,,,,,,,
205,autoreflinks,,autoreflinks,pauloue/mkdocs-autoreflinks-plugin,,['plugin'],links-refs,https://github.com/p-ouellette/mkdocs-autoreflinks-plugin,https://github.com/p-ouellette/mkdocs-autoreflinks-plugin,0BSD,2019-08-25 18:43:10,2021-02-13 22:17:31,2021-02-13 22:14:37,3.0,,,1.0,,,3.0,5.0,,,,An MkDocs plugin that auto-links heading references.,,,,,,,3,False,3.0,,,,,p-ouellette/mkdocs-autoreflinks-plugin,,,,
206,Cluster,cluster,,,mkdocs-cluster,['theme'],theming,,https://gitlab.com/kaliko/mkdocs-cluster,,2016-06-02 15:03:33,2016-06-02 15:03:33,,,,1.0,,,,1.0,4.0,,,0.0,Another bootstrap theme for MkDocs.,,,,https://pypi.org/project/mkdocs-cluster,216.0,216.0,3,False,3.0,,,,,,,kaliko/mkdocs-cluster,https://gitlab.com/kaliko/mkdocs-cluster,
207,sequence-js,,sequence-js,fcannizzaro/mkdocs-sequence-js-plugin,,['plugin'],charts,https://github.com/fcannizzaro/mkdocs-sequence-js-plugin,https://github.com/fcannizzaro/mkdocs-sequence-js-plugin,MIT,2019-11-06 22:44:12,2020-02-28 16:45:04,2020-02-28 16:43:34,11.0,,2.0,2.0,,1.0,2.0,4.0,,,,MkDocs plugin to render sequence.js blocks.,,,,,,,3,False,3.0,,,,,,,,,
208,alternate-link,,alternate-link,cmitu/mkdocs-altlink-plugin,,['plugin'],links-refs,https://github.com/cmitu/mkdocs-altlink-plugin,https://github.com/cmitu/mkdocs-altlink-plugin,MIT,2020-01-08 21:31:28,2022-07-13 17:28:57,2021-02-14 13:54:59,14.0,,2.0,2.0,3.0,,1.0,4.0,,,,An MkDocs plugin that simplifies internal links creation.,,,3.0,,,,3,False,3.0,,,,,,,,,
209,Semantic Data Extension,,,aleray/mdx_semanticdata,mdx_semanticdata,['markdown'],markdown,https://github.com/aleray/mdx_semanticdata,https://github.com/aleray/mdx_semanticdata,,2012-04-21 14:17:39,2023-08-21 22:27:39,2012-11-05 00:45:02,3.0,,1.0,2.0,,,,4.0,,,,Python-Markdown extension to add support for semantic data (RDFa).,,,,https://pypi.org/project/mdx_semanticdata,11.0,11.0,3,False,3.0,,mdx_semanticdata,,,,,,,
210,import-statement,,import-statement,Rj40x40/mkdocs-import-statement-plugin,mkdocs-import-statement-plugin,['plugin'],charts,https://github.com/Rj40x40/mkdocs-import-statement-plugin,https://github.com/Rj40x40/mkdocs-import-statement-plugin,MIT,2023-01-13 01:56:01,2023-02-06 13:25:35,2023-02-06 13:25:08,4.0,,,1.0,,,,2.0,,,,,,,,https://pypi.org/project/mkdocs-import-statement-plugin,84.0,84.0,3,False,3.0,,,,,,,,,
211,emailprotect,,emailprotect,rkoe/mkdocs-emailprotect,,['plugin'],links-refs,https://github.com/rkoe/mkdocs-emailprotect,https://github.com/rkoe/mkdocs-emailprotect,MIT,2020-01-07 21:52:50,2020-01-21 00:13:01,2020-01-21 00:13:00,4.0,,,3.0,,,1.0,2.0,,,,A MkDocs plugin that tries to obscure email-addresses from address-harvesting spam-bots.,,,,,,,3,False,3.0,,,,,,,,,
212,mkdocs-title-casing-plugin,,title-casing,Rusty3141/mkdocs-title-casing-plugin,mkdocs-title-casing-plugin,['plugin'],nav-pages,https://github.com/mattchristopher314/mkdocs-title-casing-plugin,https://github.com/mattchristopher314/mkdocs-title-casing-plugin,GPL-3.0,2021-09-04 16:33:06,2023-09-02 18:02:57,2023-09-02 18:02:17,1.0,1.0,,1.0,,,,2.0,2021-09-05 10:30:43,0.2.0,1.0,A lightweight mkdocs plugin to add title casing to all mkdocs pages and sections.,,,,https://pypi.org/project/mkdocs-title-casing-plugin,134.0,134.0,3,False,3.0,,,,,mattchristopher314/mkdocs-title-casing-plugin,,,,
213,python-mkblog,,mkblog,derJD/python-mkblog,mkblog,['plugin'],blogging,https://github.com/derJD/python-mkblog,https://github.com/derJD/python-mkblog,MIT,2021-03-19 12:48:35,2021-04-14 14:46:30,2021-04-14 14:44:42,20.0,,1.0,2.0,,,,1.0,,,,This is a MkDocs Plugin adding basic blogging functionality by parsing a `blog` directory ontop of your usual `docs`..,,,2.0,https://pypi.org/project/mkblog,48.0,48.0,3,False,3.0,,,,,,,,,
214,MkDocs Graphviz,,,,mkdocs-graphviz,['markdown'],charts,,,,,,,,,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-graphviz,2357.0,2357.0,3,False,3.0,,mkdocs_graphviz,,,,,rodrigo.schwencke/mkdocs-graphviz,,
215,docstyler,,docstyler,hfagerlund/mkdocs-docstyler-plugin,,['plugin'],html-css,https://github.com/hfagerlund/mkdocs-docstyler-plugin,https://github.com/hfagerlund/mkdocs-docstyler-plugin,BSD-3-Clause,2019-02-10 21:05:18,2019-02-17 04:17:30,2019-02-16 01:29:25,2.0,,,2.0,,,,,,,,Plugin to add alternative stylesheets to MkDocs custom themes.,,,,,,,3,False,3.0,,,,,,,,,
216,Mkdocs-Addresses,,mkdocs-addresses,,mkdocs-addresses,['plugin'],links-refs,,https://gitlab.com/frederic.zinelli/mkdocs-addresses,,2023-07-13 16:32:15,2023-07-13 16:32:15,,,,0.0,,,,,,,,0.0,"Mkdocs plugin, building automatically the appropriate relative paths (to images, links, anchors, ...) using..",,,,https://pypi.org/project/mkdocs-addresses,203.0,203.0,3,False,3.0,,,,,,,frederic.zinelli/mkdocs-addresses,https://gitlab.com/frederic.zinelli/mkdocs-addresses,
217,blog,,blog,andyoakley/mkdocs-blog,,['plugin'],blogging,https://github.com/andyoakley/mkdocs-blog,https://github.com/andyoakley/mkdocs-blog,,2018-02-09 06:12:17,2022-01-21 04:42:09,2020-11-02 21:52:20,17.0,,7.0,2.0,3.0,4.0,1.0,15.0,,,,Blogging in mkdocs.,,,,,,,2,False,3.0,,,,,,,,,
218,Semantic WikiLinks Extension,,,aleray/mdx_semanticwikilinks,mdx_semanticwikilinks,['markdown'],markdown,https://github.com/aleray/mdx_semanticwikilinks,https://github.com/aleray/mdx_semanticwikilinks,,2012-04-21 16:25:59,2012-08-15 14:19:53,2012-08-15 14:24:53,4.0,,1.0,2.0,,1.0,,8.0,,,,Python-Markdown extension to add support for semantic (wiki)links (RDFa).,,,,https://pypi.org/project/mdx_semanticwikilinks,12.0,12.0,2,False,3.0,,mdx_semanticwikilinks,,,,,,,
219,MkHack3rs,,,,,['project'],charts,,https://eskool.gitlab.io/mkhack3rs/,,2021-05-01 11:44:57,2021-05-01 11:44:57,,,,1.0,,,,,4.0,,,0.0,Hacks & Integrations for Mkdocs / Material Theme.,,,,,,,2,False,3.0,,,,,,,eskool/mkhack3rs,https://gitlab.com/eskool/mkhack3rs,
220,pagenav-generator,,pagenav-generator,Andre601/mkdocs-pagenav-generator,,['plugin'],nav-pages,https://github.com/Andre601/mkdocs-pagenav-generator,https://github.com/Andre601/mkdocs-pagenav-generator,MIT,2021-02-22 23:26:06,2022-04-17 15:52:15,2022-04-17 15:52:15,17.0,,1.0,2.0,1.0,,1.0,3.0,,,,Little something to automatically generate a Navigation within a page itself. Depends on Awesome-pages.,,,2.0,,,,2,False,3.0,,,,,,,,,
221,mkdocs-autozip,,autozip,martinohanlon/mkdocs_autozip,mkdocs-autozip,['plugin'],site-conversion,https://github.com/martinohanlon/mkdocs_autozip,https://github.com/martinohanlon/mkdocs_autozip,,2020-08-12 14:55:13,2022-10-05 14:46:34,2022-10-05 14:46:34,11.0,,,2.0,1.0,,1.0,2.0,,,,A mkdocs plugin for auto zipping the document source.,,,,https://pypi.org/project/mkdocs-autozip,298.0,298.0,2,False,3.0,,,,,,,,,
222,helm,,helm-repo,M00nF1sh/mkdocs-helm,mkdocs-helm,['plugin'],site-conversion,https://github.com/M00nF1sh/mkdocs-helm,https://github.com/M00nF1sh/mkdocs-helm,Apache-2.0,2018-11-19 23:21:08,2021-08-11 10:10:01,2018-11-21 02:32:03,2.0,,1.0,2.0,3.0,,,1.0,,,,An mkdocs plugin that turns docs website into helm repository.,,,,https://pypi.org/project/mkdocs-helm,16.0,16.0,2,False,3.0,,,,,,,,,
223,mkdocs-yaarg-plugin,,yaarg,g6123/mkdocs-yaarg-plugin,mkdocs-yaarg-plugin,['plugin'],api-docs,https://github.com/g6123/mkdocs-yaarg-plugin,https://github.com/g6123/mkdocs-yaarg-plugin,,2021-02-27 18:13:10,2021-03-14 14:58:43,2021-03-14 14:58:01,18.0,,,1.0,1.0,,,2.0,2021-03-14 14:59:09,0.0.1a5,1.0,Yet Another API Reference Generator plugin for MKDocs.,,,,https://pypi.org/project/mkdocs-yaarg-plugin,18.0,18.0,1,False,3.0,,,,,,,,,
224,filename-title,,filename_title,mipro98/mkdocs-filename-title-plugin,,['plugin'],nav-pages,https://github.com/mipro98/mkdocs-filename-title-plugin,https://github.com/mipro98/mkdocs-filename-title-plugin,AGPL-3.0,2020-04-25 08:37:18,2020-04-25 09:54:42,2020-04-25 09:54:34,2.0,,1.0,2.0,,,,1.0,,,,A mkdocs plugin which lets you use filenames as page tiltles.,,,,,,,1,False,3.0,,,,,,,,,
225,mkdocs-pug,,,vzhong/mkdocs_pug,mkdocs-pug,[],nav-pages,https://github.com/vzhong/mkdocs_pug,https://github.com/vzhong/mkdocs_pug,,2021-10-20 07:17:04,2021-10-20 08:15:06,2021-10-20 08:15:04,2.0,,,2.0,,1.0,,,,,,Use pug templates with your mkdocs template.,,,,https://pypi.org/project/mkdocs-pug,13.0,13.0,1,False,3.0,,,,,,,,,
226,ansible-document,,,,ansible-mkdocs,[],api-docs,,,,,,,,,,,,,,,,,,Auto-generate ansible role documentation.,,,,https://pypi.org/project/ansible-mkdocs,20.0,20.0,0,False,,,,,,,,,,
227,Mkdocs translations plugin,,translations,,mkdocs-translations,['plugin'],i18n-l10n,,,,,,,,,,,,,,,,,,Internationalization plugin for mkdocs.,,,,https://pypi.org/project/mkdocs-translations,12.0,12.0,0,False,,,,,,,,,,
228,Django Static Image,,,,markdown-djangostaticimage,['markdown'],markdown,,,,,,,,,,,,,,,,,,,,,,https://pypi.org/project/markdown-djangostaticimage,16.0,16.0,0,False,,,django_static_image,,,,,,,melvinkcx/markdown-extension-django-static-image
229,octadocs-adr,,octadocs_adr,octadocs/octadocs,octadocs-adr,['plugin'],site-management,,{},,,,,,,,,,,,,,,,,,,,https://pypi.org/project/octadocs-adr,9.0,9.0,0,False,,,,,,,,,,
